bonus,cashdown,creation_date,description,distance_allowed,distance_period,end_date,financing_duration,frequency,img_url,interest_rate,last_modified_date,make,make_id,model,model_id,payment,promotion_id,rebate,start_date,title,trim,trim_id,type,year
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-13,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:52,Cadillac,43,Escalade,768,,217,,2013-02-13,The 2013 Cadillac Escalade Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the Nissan Rogue <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/66981//2018-10-nissan-at-promo-rogue-en1538429208527.jpg,,2016-10-03 11:10:56,Nissan,2,Rogue,18,,258,,2013-02-22,Get The Nissan Rogue!,,,,
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/66586//2018-09-nissan-sentra-en1537290043652.png,,2016-10-03 11:10:56,Nissan,2,Sentra,34,,259,,2013-02-22,The Nissan Sentra Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the Nissan Altima <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-15,,,https://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo/67530//2018-10-nissan-at-promo-altima-en1538775556728.jpg,,2016-10-03 11:10:56,Nissan,2,Altima,35,,260,,2013-02-22,Get The Nissan Altima!,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Volt <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-25,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Chevrolet,41,Volt,783,,266,,2013-02-25,Get The 2013 Chevrolet Volt!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-25,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Chevrolet,41,Volt,783,,267,,2013-04-23,The 2013 Chevrolet Volt Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,270,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,271,,2013-02-27,The 2013 Mazda CX-5 Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:57,Mazda,6,CX-5,736,,272,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:58,Mazda,6,SPEED3,58,,277,,2013-02-27,The Mazda SPEED3 Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda 3 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:58,Mazda,6,3,56,,280,,2013-02-27,Get The 2013 Mazda 3!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-03-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:59,Mazda,6,CX-5,736,,284,,2013-02-27,Get The 2013 Mazda CX-5!,,,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2014-02-27,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:10:59,Nissan,2,Sentra,34,,285,,2013-02-27,The 2013 Nissan Sentra Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Pathfinder <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Pathfinder,39,,304,,2013-06-01,Get The 2013 Nissan Pathfinder!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Rogue <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Rogue,18,,306,,2013-06-01,Get The 2013 Nissan Rogue!,,,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,307,,2013-03-04,The 2013 Nissan Sentra Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Sentra <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,308,,2013-05-02,Get The 2013 Nissan Sentra!,1.8 S,1902.0,,2013.0
,,,<p>Nissan Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-07-15,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Altima,35,,309,,2013-06-01,The 2013 Nissan Altima Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Sentra <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:01,Nissan,2,Sentra,34,,312,,2013-03-05,Get The 2013 Nissan Sentra!,1.8 S,1902.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Altima <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-07-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:02,Nissan,2,Altima,35,,314,,2013-06-22,Get The 2013 Nissan Altima!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Pathfinder <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:02,Nissan,2,Pathfinder,39,,318,,2013-03-05,Get The 2013 Nissan Pathfinder!,,,,2013.0
,,,<p>Honda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:04,Honda,15,Civic Berline,471,,337,,2013-03-06,The 2013 Honda Civic Berline Is Here,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:04,Mazda,6,6,60,,339,,2013-04-01,The 2014 Mazda 6 Is Here,,,,2014.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda 2 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,2,55,,362,,2013-03-12,Get The 2013 Mazda 2!,,,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,3,56,,363,,2013-03-12,The 2013 Mazda 3 Is Here,GX,2121.0,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,3,56,,365,,2013-03-12,The 2013 Mazda 3 Is Here,GS-SKY,2120.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda 3 Sport <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,3 Sport,57,,366,,2013-03-12,Get The 2013 Mazda 3 Sport!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2014 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,CX-5,736,,368,,2013-04-01,Get The 2014 Mazda CX-5!,,,,2014.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:07,Mazda,6,CX-9,63,,369,,2013-03-12,The 2013 Mazda CX-9 Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda MX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:08,Mazda,6,MX-5,65,,370,,2013-03-12,Get The 2013 Mazda MX-5!,,,,2013.0
,,,<p>Chevrolet Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-05,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:08,Chevrolet,41,Sonic Berline,748,,371,,2013-03-12,The 2013 Chevrolet Sonic Berline Is Here,LS,1927.0,,2013.0
,,,<p>Mazda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-04-02,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:08,Mazda,6,CX-5,736,,373,,2013-03-12,The 2013 Mazda CX-5 Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Mazda CX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-09-10,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:08,Mazda,6,CX-5,736,,374,,2013-03-12,Get The 2013 Mazda CX-5!,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the Cadillac CTS Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-06-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:10,Cadillac,43,CTS Berline,826,,390,,2013-03-14,Get The Cadillac CTS Berline!,,,,
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-06-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:10,Cadillac,43,ATS,824,,391,,2013-03-14,The Cadillac ATS Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the Buick Verano <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:10,Buick,42,Verano,766,,394,,2013-03-14,Get The Buick Verano!,,,,
,,,"<p>Enjoy this month's promotion and get the Buick LaCrosse <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:11,Buick,42,LaCrosse,773,,404,,2013-03-15,Get The Buick LaCrosse!,,,,
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:11,Buick,42,Regal,774,,407,,2013-03-15,The Buick Regal Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the Buick Enclave <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Buick,42,Enclave,772,,408,,2013-03-15,Get The Buick Enclave!,,,,
,,,<p>Buick Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Buick,42,Encore,837,,409,,2013-03-15,The Buick Encore Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Cadillac CTS Coupe <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-06-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Cadillac,43,CTS Coupe,825,,410,,2013-03-15,Get The 2013 Cadillac CTS Coupe!,,,,2013.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-06-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Cadillac,43,XTS,830,,411,,2013-03-15,The Cadillac XTS Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Nissan Sentra <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Nissan,2,Sentra,34,,412,,2013-03-15,Get The 2013 Nissan Sentra!,,,,2013.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-06-30,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Cadillac,43,Escalade,768,,413,,2013-03-15,The Cadillac Escalade Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2014 Mazda MX-5 <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:12,Mazda,6,MX-5,65,,414,,2013-03-15,Get The 2014 Mazda MX-5!,,,,2014.0
,,,<p>Cadillac Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,Cadillac,43,SRX,769,,415,,2013-03-15,The Cadillac SRX Is Here,,,,
,,,"<p>Enjoy this month's promotion and get the 2013 Chevrolet Trax <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,Chevrolet,41,Trax,850,,416,,2013-03-15,Get The 2013 Chevrolet Trax!,,,,2013.0
,,,<p>GMC Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-06,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,GMC,44,Acadia,776,,417,,2013-04-23,The 2013 GMC Acadia Is Here,,,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Honda Accord Berline <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,Honda,15,Accord Berline,557,,418,,2013-03-18,Get The 2013 Honda Accord Berline!,LX,1821.0,,2013.0
,,,<p>Honda Canada is pleased to announce an offer unlike any other. This offer is designed for customers just like you. Enjoy this offer today by booking your visit with one of our specialists.</p>,,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,Honda,15,Fit,487,,419,,2013-03-18,The 2013 Honda Fit Is Here,DX,1833.0,,2013.0
,,,"<p>Enjoy this month's promotion and get the 2013 Honda CR-V <span class=""highlight""></span> with $0.00 down!</p><p>Wait no longer and book your test drive online now!</span></p>",,,2013-05-31,,,http://img.sm360.ca/images/var/images/bdc-hackathon-2019/promo.jpg,,2016-10-03 11:11:13,Honda,15,CR-V,560,,420,,2013-03-18,Get The 2013 Honda CR-V!,LX,1846.0,,2013.0
